YearsCode,RemoteWork, ConvertedCompYearly 
1,Hybrid, $58 
1,Hybrid, $65 
1,Hybrid, $263 
1,Hybrid, $349 
1,Hybrid, $500 
1,Hybrid, $619 
1,Hybrid," $1,114 "
1,Hybrid," $1,395 "
1,Hybrid," $3,821 "
1,Hybrid," $4,650 "
1,Hybrid," $5,500 "
1,Hybrid," $7,030 "
1,Hybrid," $7,556 "
1,Hybrid," $8,119 "
1,Hybrid," $8,450 "
1,Hybrid," $11,233 "
1,Hybrid," $16,714 "
1,Hybrid," $20,789 "
1,Hybrid," $25,157 "
1,Hybrid," $30,399 "
1,Hybrid," $33,000 "
1,Hybrid," $40,000 "
1,Hybrid," $43,680 "
1,Hybrid," $48,188 "
1,Hybrid," $50,000 "
1,Hybrid," $53,367 "
1,Hybrid," $68,071 "
1,Hybrid," $110,000 "
1,Hybrid," $115,720 "
1,Hybrid," $139,218 "
,Hybrid Average," $28,501 "
1,In-person, $2 
1,In-person, $13 
1,In-person, $46 
1,In-person, $75 
1,In-person, $100 
1,In-person, $160 
1,In-person, $193 
1,In-person, $908 
1,In-person," $1,000 "
1,In-person," $1,264 "
1,In-person," $1,438 "
1,In-person," $1,470 "
1,In-person," $1,548 "
1,In-person," $1,674 "
1,In-person," $1,697 "
1,In-person," $2,371 "
1,In-person," $2,859 "
1,In-person," $3,487 "
1,In-person," $4,894 "
1,In-person," $6,000 "
1,In-person," $9,671 "
1,In-person," $13,849 "
1,In-person," $13,922 "
1,In-person," $18,562 "
1,In-person," $18,637 "
1,In-person," $22,000 "
1,In-person," $23,155 "
1,In-person," $24,000 "
1,In-person," $25,523 "
1,In-person," $27,109 "
1,In-person," $27,844 "
1,In-person," $27,844 "
1,In-person," $34,000 "
1,In-person," $38,206 "
1,In-person," $42,924 "
1,In-person," $43,590 "
1,In-person," $45,000 "
1,In-person," $55,000 "
1,In-person," $72,000 "
1,In-person," $75,000 "
1,In-person," $76,000 "
1,In-person," $80,000 "
1,In-person," $81,368 "
1,In-person," $100,000 "
1,In-person," $105,278 "
